Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod,daily_volatility,is_crisis
2001-01-31,29.41,28.27,28.66,2,100,31,2001,25.85,0.655387356954451,32.19,0.040325433321542294,0
2001-02-05,31.25,30.24,30.55,0,200,5,2001,26.8,0.6214739062882644,32.19,0.03339947089947095,0
2001-02-06,30.88,30.16,30.35,1,200,6,2001,27.21,0.5997511104310018,32.19,0.023872679045092802,0
2001-02-07,31.35,30.06,31.27,2,200,7,2001,27.32,0.5958966760068509,32.19,0.04291417165668672,0
2001-02-08,31.87,31.11,31.59,3,200,8,2001,27.32,0.6024725647028585,32.19,0.024429443908711077,0
2001-02-09,31.68,30.85,31.03,4,200,9,2001,27.32,0.6105385635784568,32.19,0.026904376012965907,0
2001-02-12,31.1,30.4,30.51,0,200,12,2001,27.32,0.6215593251559821,32.19,0.02302631578947378,0
2001-02-13,30.52,29.73,30.36,1,200,13,2001,27.64,0.6064574412339636,32.19,0.026572485704675384,0
2001-02-14,30.85,29.65,29.71,2,200,14,2001,28.66,0.5048267973318676,32.19,0.04047217537942674,0
2001-02-15,29.68,28.55,28.8,3,200,15,2001,28.66,0.515492205181785,32.19,0.039579684763572646,0
2001-02-16,29.3,28.78,29.16,4,200,16,2001,28.66,0.5293649578591765,32.19,0.01806810284920082,0
2001-02-20,29.57,28.4,28.58,1,200,20,2001,28.58,0.5539536756107857,32.19,0.04119718309859161,0
2001-02-21,29.0,28.31,28.53,2,200,21,2001,28.53,0.5750262114654362,32.19,0.024373013069586766,0
2001-02-22,29.2,28.36,28.82,3,200,22,2001,28.53,0.5915764572770464,32.19,0.02961918194640338,0
2001-02-23,29.43,28.51,29.04,4,200,23,2001,28.53,0.6091922808189628,32.19,0.03226937916520512,0
2001-02-26,29.18,28.4,28.42,0,200,26,2001,28.42,0.6383496840255264,32.19,0.027464788732394406,0
2001-02-27,28.4,27.72,28.13,1,200,27,2001,28.13,0.6688131201614957,31.59,0.02453102453102452,0
2001-02-28,28.4,27.36,27.39,2,200,28,2001,27.39,0.8106989125553847,31.59,0.03801169590643272,0
2001-03-01,27.85,27.16,27.62,3,300,1,2001,27.39,0.814737211178141,31.59,0.0254050073637703,0
2001-03-02,28.2,27.6,27.84,4,300,2,2001,27.39,0.8149313183035923,31.59,0.021739130434782532,0
2001-03-05,28.83,27.91,28.6,0,300,5,2001,27.39,0.8137105414290509,31.59,0.03296309566463627,0
2001-03-06,28.7,28.21,28.32,1,300,6,2001,27.39,0.811785587541336,31.59,0.017369727047146347,0
2001-03-07,29.1,28.18,29.0,2,300,7,2001,27.39,0.8114352381251753,31.59,0.03264726756564946,0
2001-03-08,29.15,28.33,28.39,3,300,8,2001,27.39,0.811275153540056,31.59,0.02894458171549595,0
2001-03-09,28.45,27.92,28.01,4,300,9,2001,27.39,0.8079768171194193,31.59,0.01898280802292255,0
2001-03-12,28.24,27.67,28.0,0,300,12,2001,27.39,0.8046750192364034,31.59,0.02059992771955174,0
2001-03-13,27.98,27.51,27.59,1,300,13,2001,27.39,0.8002328019564772,31.59,0.017084696474009408,0
2001-03-15,26.72,26.12,26.55,3,300,15,2001,26.41,0.900627719571654,31.59,0.022970903522205124,0
2001-03-16,27.48,26.45,26.74,4,300,16,2001,26.41,0.8581644632297467,31.03,0.03894139886578454,0
2001-03-19,26.94,26.1,26.15,0,300,19,2001,26.15,0.8157026170973258,30.51,0.032183908045977004,0
2001-03-20,26.49,25.7,25.96,1,300,20,2001,25.96,0.8088119827067423,30.36,0.03073929961089491,0
2001-03-21,26.85,25.92,26.8,2,300,21,2001,25.96,0.6983284939158043,29.71,0.035879629629629615,0
2001-03-22,27.19,26.42,26.54,3,300,22,2001,25.96,0.5747585013031392,29.16,0.029144587433762283,0
2001-03-23,27.45,26.48,27.3,4,300,23,2001,25.96,0.5747089707076656,29.16,0.036631419939577,0
2001-03-26,27.66,27.11,27.48,0,300,26,2001,25.96,0.5443493523860473,29.04,0.020287716709701243,0
2001-03-27,28.04,27.38,27.75,1,300,27,2001,25.96,0.5434163905818816,29.04,0.024105186267348436,0
2001-03-29,26.78,25.75,26.32,3,300,29,2001,25.96,0.5439079425012777,29.04,0.04000000000000004,0
2001-03-30,26.64,25.96,26.29,4,300,30,2001,25.96,0.5353641362235925,29.0,0.026194144838212623,0
2001-04-02,26.47,25.55,25.59,0,400,2,2001,25.59,0.5545690422885751,29.0,0.03600782778864963,0
2001-04-03,26.28,25.49,26.19,1,400,3,2001,25.59,0.5566846452291089,29.0,0.030992546096508544,0
2001-04-04,27.24,26.13,27.12,2,400,4,2001,25.59,0.5569478141562322,29.0,0.04247990815154992,0
2001-04-05,27.78,26.87,27.26,3,400,5,2001,25.59,0.5575586418078945,29.0,0.03386676590993674,0
2001-04-06,27.28,26.81,27.06,4,400,6,2001,25.59,0.56407190671596,29.0,0.01753077209996279,0
2001-04-09,27.67,27.01,27.28,0,400,9,2001,25.59,0.569948027459952,29.0,0.024435394298408002,0
2001-04-10,28.63,27.31,28.48,1,400,10,2001,25.59,0.5765031311253842,29.0,0.04833394361039913,0
2001-04-11,28.45,27.94,28.18,2,400,11,2001,25.59,0.460156337712316,28.48,0.018253400143163852,0
2001-04-12,28.84,28.19,28.25,3,400,12,2001,25.59,0.4650920700703642,28.48,0.02305782192266756,0
2001-04-16,29.04,28.05,28.79,0,400,16,2001,25.59,0.5488466437490314,28.79,0.03529411764705877,0
2001-04-17,29.0,28.15,28.24,1,400,17,2001,25.59,0.5733349017663409,28.79,0.030195381882770923,0
2001-04-18,28.29,27.04,27.95,2,400,18,2001,25.59,0.6018399934214036,28.79,0.046227810650887574,0
2001-04-19,27.96,27.45,27.82,3,400,19,2001,25.59,0.6095277681862137,28.79,0.018579234972677654,0
2001-04-20,28.0,26.8,27.28,4,400,20,2001,25.59,0.6153491365066068,28.79,0.044776119402985044,0
2001-04-23,27.93,27.4,27.61,0,400,23,2001,25.59,0.6223707652122517,28.79,0.019343065693430698,0
2001-04-24,27.98,26.8,26.86,1,400,24,2001,25.59,0.6330167783842804,28.79,0.044029850746268646,0
2001-04-25,27.38,26.75,27.29,2,400,25,2001,25.59,0.6389203256029236,28.79,0.02355140186915884,0
2001-04-26,28.65,27.29,28.44,3,400,26,2001,25.59,0.6419031626229145,28.79,0.04983510443385854,0
2001-04-27,28.64,28.15,28.27,4,400,27,2001,25.59,0.6435047868848938,28.79,0.017406749555950337,0
2001-04-30,28.99,28.13,28.46,0,400,30,2001,25.59,0.6515875030148338,28.79,0.030572342694632045,0
2001-05-01,28.98,28.25,28.94,1,500,1,2001,25.59,0.708590081977593,28.94,0.025840707964601785,0
2001-05-02,29.05,27.75,27.8,2,500,2,2001,25.59,0.7272498928403479,28.94,0.046846846846846875,0
2001-05-03,28.55,27.37,28.45,3,500,3,2001,25.59,0.7423714426919895,28.94,0.04311289733284617,0
2001-05-04,28.73,28.15,28.36,4,500,4,2001,25.59,0.7718973227774768,28.94,0.020603907637655485,0
2001-05-07,28.58,27.72,27.77,0,500,7,2001,25.59,0.8129344348240576,28.94,0.031024531024531007,0
2001-05-08,28.0,27.35,27.39,1,500,8,2001,26.19,0.8055286949291521,28.94,0.02376599634369282,0
2001-05-09,28.25,27.05,28.23,2,500,9,2001,26.86,0.7116651618235489,28.94,0.04436229205175598,0
2001-05-10,28.85,28.15,28.52,3,500,10,2001,26.86,0.7365053229064051,28.94,0.024866785079929055,0
2001-05-11,28.75,28.28,28.55,4,500,11,2001,26.86,0.7499138283496829,28.94,0.01661951909476658,0
2001-05-14,28.81,28.08,28.71,0,500,14,2001,26.86,0.7506540879698262,28.94,0.025997150997151015,0
2001-05-15,29.07,28.61,28.98,1,500,15,2001,26.86,0.759375247866556,28.98,0.016078294302691396,0
2001-05-16,29.25,28.45,28.86,2,500,16,2001,26.86,0.7572465368261752,28.98,0.028119507908611625,0
2001-05-17,29.03,28.62,28.91,3,500,17,2001,26.86,0.7543808721100425,28.98,0.014325646401118103,0
2001-05-18,29.99,28.92,29.91,4,500,18,2001,26.86,0.8213053659418865,29.91,0.03699861687413543,0
2001-05-21,30.2,29.61,29.98,0,500,21,2001,26.86,0.8176191485159063,29.98,0.0199257007767646,0
2001-05-22,30.05,29.58,29.74,1,500,22,2001,26.86,0.8132896989337774,29.98,0.015889114266396297,0
2001-05-23,30.05,29.55,29.58,2,500,23,2001,26.86,0.810386103974227,29.98,0.01692047377326565,0
2001-05-25,28.58,28.1,28.38,4,500,25,2001,26.86,0.8154781942844149,29.98,0.017081850533807716,0
2001-05-29,29.05,28.35,28.66,1,500,29,2001,26.86,0.8164528083956861,29.98,0.024691358024691332,0
2001-05-30,28.95,28.43,28.55,2,500,30,2001,27.29,0.6907643888359338,29.98,0.018290538163911345,0
2001-05-31,28.72,27.55,28.37,3,500,31,2001,27.39,0.656362585523997,29.98,0.042468239564428245,0
2001-06-01,28.6,27.58,27.93,4,600,1,2001,27.39,0.6534890029736128,29.98,0.03698332124728075,0
2001-06-04,28.25,28.07,28.13,0,600,4,2001,27.39,0.6525555990413058,29.98,0.006412540078375479,0
2001-06-05,28.33,27.8,28.24,1,600,5,2001,27.39,0.6535075796744008,29.98,0.01906474820143876,0
2001-06-06,28.37,27.25,27.72,2,600,6,2001,27.39,0.6520492584209927,29.98,0.0411009174311927,0
2001-06-07,28.1,27.41,27.75,3,600,7,2001,27.39,0.6530056443357568,29.98,0.025173294418095633,0
2001-06-08,28.39,27.8,28.33,4,600,8,2001,27.39,0.6670636795786515,29.98,0.021223021582733807,0
2001-06-11,29.34,28.4,29.04,0,600,11,2001,27.39,0.6810711939479327,29.98,0.03309859154929582,0
2001-06-12,29.38,28.75,29.18,1,600,12,2001,27.39,0.6929572710734511,29.98,0.021913043478260834,0
2001-06-13,29.63,28.8,28.84,2,600,13,2001,27.72,0.590087108392144,29.98,0.028819444444444384,0
2001-06-14,29.28,28.6,29.04,3,600,14,2001,27.72,0.6142964056098306,29.98,0.023776223776223765,0
2001-06-15,29.11,28.44,28.51,4,600,15,2001,27.72,0.6273158986335232,29.98,0.02355836849507729,0
2001-06-18,28.54,27.42,27.55,0,600,18,2001,27.55,0.7041663889674316,29.98,0.04084609773887664,0
2001-06-19,27.82,27.3,27.48,1,600,19,2001,27.48,0.7310858406846836,29.98,0.019047619047619032,0
2001-06-21,26.77,25.85,26.56,3,600,21,2001,26.5,0.929344323899996,29.98,0.035589941972920626,0
2001-06-22,27.1,26.42,26.83,4,600,22,2001,26.5,0.9337325838842988,29.98,0.02573807721423163,0
2001-06-25,27.32,26.78,27.25,0,600,25,2001,26.5,0.9405127625139388,29.98,0.020164301717699742,0
2001-06-26,27.49,26.82,26.98,1,600,26,2001,26.5,0.930987457560661,29.74,0.02498135719612223,0
2001-06-28,25.75,25.1,25.56,3,600,28,2001,25.56,0.8826378331498952,29.18,0.025896414342629424,0
2001-06-29,26.5,25.64,26.25,4,600,29,2001,25.56,0.8794204581185197,29.18,0.033541341653666124,0
2001-07-03,26.3,25.65,26.24,1,700,3,2001,25.56,0.8714384058165834,29.18,0.025341130604288584,0
2001-07-05,27.05,26.34,27.02,3,700,5,2001,25.56,0.8711602457485651,29.18,0.02695520121488234,0
2001-07-06,28.29,27.0,28.21,4,700,6,2001,25.56,0.8724076899760379,29.18,0.047777777777777745,0
2001-07-09,28.26,27.5,27.59,0,700,9,2001,25.56,0.8738416580270817,29.18,0.02763636363636369,0
2001-07-10,27.69,27.2,27.49,1,700,10,2001,25.56,0.8756343800330294,29.18,0.018014705882353016,0
2001-07-11,27.59,26.92,27.11,2,700,11,2001,25.56,0.8802363106801063,29.18,0.02488855869242192,0
2001-07-12,27.1,25.94,26.8,3,700,12,2001,25.56,0.8812394945671825,29.18,0.04471858134155744,0
2001-07-13,26.98,26.22,26.59,4,700,13,2001,25.56,0.8805994049254582,29.18,0.02898550724637687,0
2001-07-16,26.58,25.72,26.06,0,700,16,2001,25.56,0.8771110071658992,29.18,0.03343701399688956,0
2001-07-17,26.32,25.53,25.57,1,700,17,2001,25.56,0.8697848053399986,29.18,0.03094398746572656,0
2001-07-18,25.6,24.7,24.89,2,700,18,2001,24.89,0.8498800323854724,29.04,0.03643724696356284,0
2001-07-23,26.6,25.86,26.12,0,700,23,2001,24.7,0.6443319280655077,28.21,0.02861562258314006,0
2001-07-24,26.44,26.01,26.31,1,700,24,2001,24.7,0.6515059711045145,28.21,0.016532103037293338,0
2001-07-25,26.97,26.19,26.84,2,700,25,2001,24.7,0.6586394704859587,28.21,0.0297823596792668,0
2001-07-26,27.04,26.65,26.73,3,700,26,2001,24.7,0.6693520327102844,28.21,0.014634146341463436,0
2001-07-27,27.15,26.25,27.02,4,700,27,2001,24.7,0.672347888141764,28.21,0.03428571428571423,0
2001-07-30,27.05,26.55,26.63,0,700,30,2001,24.7,0.6798927688424494,28.21,0.018832391713747645,0
2001-07-31,26.85,26.31,26.35,1,700,31,2001,24.7,0.6872291771582076,28.21,0.02052451539338665,0
2001-08-01,26.85,26.33,26.77,2,800,1,2001,24.7,0.690623425423414,28.21,0.01974933535890631,0
2001-08-02,27.9,26.74,27.71,3,800,2,2001,24.7,0.689301630057009,28.21,0.043380703066566946,0
2001-08-03,27.92,27.4,27.62,4,800,3,2001,24.7,0.6924377213774168,28.21,0.018978102189781135,0
2001-08-06,27.77,27.38,27.74,0,800,6,2001,24.7,0.6969137329504412,28.21,0.014243973703433185,0
2001-08-07,28.4,27.66,27.94,1,800,7,2001,24.7,0.7006440323127373,28.21,0.026753434562545135,0
2001-08-08,28.28,27.48,27.54,2,800,8,2001,24.7,0.7074949804461754,28.21,0.029112081513828263,0
2001-08-09,27.72,27.38,27.64,3,800,9,2001,24.7,0.7162266670593236,28.21,0.012417823228634035,0
2001-08-10,28.42,27.65,28.05,4,800,10,2001,24.7,0.6774424363855014,28.05,0.0278481012658229,0
2001-08-13,28.27,27.7,27.82,0,800,13,2001,24.7,0.685051632490973,28.05,0.020577617328519867,0
2001-08-14,28.05,27.67,28.01,1,800,14,2001,24.7,0.7022516004592834,28.05,0.01373328514636787,0
2001-08-15,28.25,27.42,27.56,2,800,15,2001,24.7,0.7242786398708834,28.05,0.030269876002917515,0
2001-08-16,27.6,27.15,27.4,3,800,16,2001,24.7,0.7455092712198118,28.05,0.016574585635359223,0
2001-08-17,27.62,26.55,26.68,4,800,17,2001,24.7,0.7685108975445275,28.05,0.04030131826741997,0
2001-08-20,27.25,26.35,27.18,0,800,20,2001,24.7,0.7768833352505364,28.05,0.0341555977229601,0
2001-08-21,28.1,27.1,27.91,1,800,21,2001,24.7,0.7808452430809582,28.05,0.03690036900369004,0
2001-08-22,27.25,26.35,26.37,2,800,22,2001,24.7,0.7939558490307337,28.05,0.0341555977229601,0
2001-08-23,26.72,26.28,26.63,3,800,23,2001,25.59,0.7558302521173169,28.05,0.016742770167427614,0
2001-08-24,27.15,26.63,26.9,4,800,24,2001,26.12,0.6725906004494397,28.05,0.019526849417949667,0
2001-08-27,27.17,26.44,26.67,0,800,27,2001,26.31,0.6244470887943772,28.05,0.02760968229954616,0
2001-08-28,27.38,26.51,27.17,1,800,28,2001,26.35,0.6162590451740362,28.05,0.03281780460203687,0
2001-08-29,27.6,26.77,27.05,2,800,29,2001,26.35,0.620703497552059,28.05,0.03100485618229368,0
2001-08-30,27.09,26.52,26.55,3,800,30,2001,26.35,0.6200427668766362,28.05,0.02149321266968327,0
2001-08-31,27.25,26.55,27.2,4,800,31,2001,26.35,0.621317808778145,28.05,0.026365348399246678,0
2001-09-04,27.18,26.76,26.93,1,900,4,2001,26.35,0.6264723382205833,28.05,0.015695067264573922,0
2001-09-05,27.23,26.76,26.95,2,900,5,2001,26.37,0.6344921408839808,28.05,0.017563527653213708,0
2001-09-06,27.65,26.88,27.58,3,900,6,2001,26.37,0.6523790671933529,28.05,0.02864583333333332,0
2001-09-07,28.15,27.43,28.03,4,900,7,2001,26.37,0.662433403247175,28.05,0.026248632883703934,0
2001-09-10,28.0,27.57,27.63,0,900,10,2001,26.37,0.6793657972824028,28.05,0.015596663039535717,0
2001-09-14,29.98,29.71,29.53,4,900,14,2001,26.37,0.7545288550700338,29.53,0.009087849209020516,0
2001-09-17,29.25,28.3,28.81,0,900,17,2001,26.37,0.7540721446933294,29.53,0.03356890459363955,0
2001-09-18,28.86,27.6,27.7,1,900,18,2001,26.37,0.7546753148419101,29.53,0.0456521739130434,0
2001-09-20,27.1,25.9,26.59,3,900,20,2001,26.37,0.7566206007032936,29.53,0.04633204633204645,0
2001-09-21,27.05,25.9,25.97,4,900,21,2001,25.97,0.8691973840324964,29.53,0.044401544401544486,0
2001-09-27,22.94,21.95,22.74,3,900,27,2001,21.81,0.973441768237434,29.53,0.04510250569476091,0
2001-09-28,23.52,22.76,23.43,4,900,28,2001,21.81,0.9704289234435391,29.53,0.033391915641476186,0
2001-10-02,23.34,22.6,22.79,1,1000,2,2001,21.81,0.9627283971811896,29.53,0.03274336283185834,0
2001-10-03,22.68,21.72,22.08,2,1000,3,2001,21.81,0.9568029820029184,29.53,0.04419889502762435,0
2001-10-04,22.9,21.94,22.63,3,1000,4,2001,21.81,0.955099085902218,29.53,0.043755697356426496,0
2001-10-05,23.22,22.3,22.39,4,1000,5,2001,21.81,0.9514437702042308,29.53,0.041255605381165836,0
2001-10-08,22.85,21.95,22.45,0,1000,8,2001,21.81,0.9478542017198986,29.53,0.041002277904328116,0
2001-10-09,22.62,22.2,22.48,1,1000,9,2001,21.81,0.9437573663877464,29.53,0.018918918918918996,0
2001-10-10,22.92,22.35,22.53,2,1000,10,2001,21.81,0.9394031161106936,29.53,0.025503355704697996,0
2001-10-11,23.4,22.46,23.34,3,1000,11,2001,21.81,0.9370665185012644,29.53,0.04185218165627772,0
2001-10-15,22.76,22.12,22.29,0,1000,15,2001,21.81,0.9261272524988295,29.53,0.028933092224231488,0
2001-10-16,22.6,21.95,22.0,1,1000,16,2001,21.81,0.9194819136999344,29.53,0.029612756264237,0
2001-10-17,22.39,21.55,21.81,2,1000,17,2001,21.81,0.912260792944976,29.53,0.03897911832946635,0
2001-10-18,21.87,21.05,21.31,3,1000,18,2001,21.31,0.9199971510503488,29.53,0.03895486935866985,0
2001-10-22,22.1,21.52,21.76,0,1000,22,2001,21.31,0.7700763721075792,27.7,0.02695167286245362,0
2001-10-23,22.55,21.82,21.85,1,1000,23,2001,21.31,0.6461382691703275,26.72,0.033455545371219086,0
2001-10-24,22.45,21.41,22.33,2,1000,24,2001,21.31,0.6314234994619397,26.59,0.04857543204110225,0
2001-10-25,22.6,21.99,22.01,3,1000,25,2001,21.31,0.5447023652003081,25.97,0.02773988176443852,0
2001-10-26,22.25,21.83,22.03,4,1000,26,2001,21.31,0.1766487252697279,23.43,0.019239578561612538,0
2001-10-29,22.55,21.93,22.15,0,1000,29,2001,21.31,0.1820419967061821,23.43,0.028271773825809438,0
2001-10-30,22.22,21.85,21.87,1,1000,30,2001,21.31,0.1880591834670952,23.43,0.01693363844393581,0
2001-11-02,20.61,19.69,20.18,4,1100,2,2001,20.18,0.2562984067536387,23.34,0.04672422549517512,0
2001-11-05,20.45,19.75,20.02,0,1100,5,2001,20.02,0.2745240988114708,23.34,0.03544303797468351,0
2001-11-06,20.09,19.56,19.92,1,1100,6,2001,19.92,0.290057790195506,23.34,0.027096114519427464,0
2001-11-07,20.35,19.68,20.09,2,1100,7,2001,19.92,0.3015023541334443,23.34,0.03404471544715456,0
2001-11-21,19.55,18.8,18.96,2,1100,21,2001,17.45,0.3707568682102062,22.33,0.03989361702127659,0
2001-11-28,19.65,18.96,19.22,2,1100,28,2001,17.45,0.4131974168150325,22.33,0.03639240506329102,0
