Real_Close,Predicted_Close,Absolute_Error,Direction_Real,Direction_Pred
0.514606658263513,0.6693825,0.15477585430591445,,
0.5297619930303255,0.669393,0.1396310099565825,1.0,1.0
0.5227033439608512,0.66940325,0.14669991102495816,-1.0,1.0
0.506243048861867,0.66940874,0.16316568975126167,-1.0,1.0
0.508623118558612,0.6694302,0.16080707772663583,1.0,1.0
0.5024987024542151,0.669419,0.1669202881578149,-1.0,-1.0
0.4956105879736043,0.66938514,0.1737745472001933,-1.0,-1.0
0.5018091495514199,0.669377,0.1675678793906883,1.0,-1.0
0.4879513605694373,0.6693563,0.18140492595628904,-1.0,-1.0
0.4935419292652183,0.6693861,0.17584415958289573,1.0,1.0
0.48137465707718546,0.66940325,0.18802859790862386,-1.0,1.0
0.47879439460220957,0.66940707,0.19061267508086538,-1.0,1.0
0.5019574404982575,0.6693608,0.16740337598047172,1.0,-1.0
0.4893675391117373,0.66932434,0.1799567993243894,-1.0,-1.0
0.4694149922147253,0.6693184,0.19990338575692385,-1.0,-1.0
0.469622599540298,0.66936654,0.19974393898432968,1.0,1.0
0.4592718914510269,0.66936773,0.21009583916649627,-1.0,1.0
0.47747460517535406,0.6693589,0.19188430395474237,1.0,-1.0
0.4815377771187069,0.66934913,0.1878113568496464,1.0,-1.0
0.4876399495810781,0.6693463,0.18170632336432596,1.0,-1.0
0.4850671016534441,0.6693577,0.18429061538375685,-1.0,1.0
0.5034181063246088,0.6693284,0.16591028522736262,1.0,-1.0
0.4973455920516053,0.66933674,0.1719911441506347,-1.0,1.0
0.48786238600133464,0.6693713,0.18150892089487508,-1.0,1.0
0.49284496181508125,0.66936487,0.17651990777949272,1.0,-1.0
0.4830132720397419,0.6694009,0.18638759876027639,-1.0,1.0
0.48073700600578345,0.66942924,0.18869223660514794,-1.0,1.0
0.46903685030028924,0.6694018,0.20036497417404547,-1.0,-1.0
0.46449173277971384,0.66942924,0.20493750983121756,-1.0,1.0
0.45474901757247715,0.6694159,0.21466687359802455,-1.0,-1.0
0.4641358345073034,0.66942495,0.20528911656920418,1.0,1.0
0.4775932379328242,0.6694643,0.19187105220923512,1.0,1.0
0.48038852228071477,0.6694383,0.1890497802362225,1.0,-1.0
0.4928894490991325,0.66945595,0.17656649639265826,1.0,1.0
0.482687031956699,0.6694183,0.18673124339959374,-1.0,-1.0
0.47252910209831694,0.66940707,0.196877967584758,-1.0,-1.0
0.480952027878698,0.6694116,0.18845957175737987,1.0,1.0
0.4663008823311337,0.66946167,0.2031607852065555,-1.0,1.0
0.46089567731889974,0.6694688,0.2085731427761625,-1.0,1.0
0.4662934677837918,0.66947454,0.20318107435716887,1.0,1.0
0.4407651812856825,0.66949815,0.22873296429460926,-1.0,1.0
0.43358048491139617,0.66946,0.23587951369623933,-1.0,-1.0
0.4246904426484763,0.66946644,0.24477599326079497,-1.0,1.0
0.42849410543486316,0.6694128,0.24091868629411023,1.0,-1.0
0.4103729517312968,0.6694235,0.2590505688337362,-1.0,1.0
0.41749091717950626,0.6694271,0.2519361796642132,1.0,1.0
0.43164528805516417,0.6694109,0.2377655963251764,1.0,-1.0
0.4269963668718025,0.6694264,0.2424300147161797,-1.0,1.0
0.4370356639727145,0.6694028,0.23236711417593664,1.0,-1.0
0.4414324905464522,0.66939324,0.22796075085903483,1.0,-1.0
0.4372358567509454,0.6694147,0.2321788423266608,-1.0,1.0
0.4492400088974568,0.6693947,0.22015466301950487,1.0,-1.0
0.4486765032994737,0.6693885,0.22071196973443136,-1.0,-1.0
0.44549566248980504,0.6693644,0.22386873026761073,-1.0,-1.0
0.45251723882256983,0.6693849,0.21686765793264867,1.0,1.0
0.4377400459701935,0.669404,0.23166392427135313,-1.0,1.0
0.42116111811373913,0.6694009,0.24823975268627918,-1.0,-1.0
0.4304886186698303,0.6694457,0.2389570748230591,1.0,1.0
0.4277081634166235,0.669383,0.2416748259899622,-1.0,-1.0
0.4462148735819678,0.6693775,0.22316263219729854,1.0,-1.0
0.4685771483650924,0.6693825,0.2008053642043351,1.0,1.0
0.47232149477274415,0.6693973,0.19707579974858763,1.0,1.0
0.4680952027878698,0.66941446,0.2013192578711573,-1.0,1.0
0.4923111144064655,0.66942686,0.17711574401867486,1.0,1.0
0.467895010009639,0.6693999,0.2015049071160629,-1.0,-1.0
0.46346852524653365,0.6693968,0.20592829243763994,-1.0,-1.0
0.48016608586045834,0.66940206,0.18923597703245548,1.0,1.0
0.4692222139838363,0.66940635,0.20018414044350136,-1.0,1.0
0.45078223474456885,0.6694302,0.21864796154067895,-1.0,1.0
0.4457477570994291,0.6694283,0.2236805318371859,-1.0,-1.0
0.44331578557129087,0.66943043,0.22611464913253604,-1.0,1.0
0.43338770668050713,0.66945785,0.23607014615991645,-1.0,1.0
0.4416771706087344,0.669439,0.22776184716394016,1.0,-1.0
0.45225031511826214,0.6694333,0.217182980608514,1.0,-1.0
0.4503596055460814,0.6694228,0.21906319976321426,-1.0,-1.0
0.4445985022614369,0.6694173,0.22481881942053944,-1.0,-1.0
0.45359976273448505,0.66942686,0.21582709569065534,1.0,1.0
0.4318751390227627,0.6694171,0.23754194424063452,-1.0,-1.0
0.4257358938236821,0.66944665,0.2437107533435237,-1.0,1.0
0.42194706013197897,0.66943306,0.24748599717621805,-1.0,-1.0
0.4328242010825239,0.66940874,0.23658453753060477,1.0,-1.0
0.4447542077556165,0.66944784,0.2246936315044848,1.0,1.0
0.43561948543041445,0.6694054,0.23378591532260679,-1.0,-1.0
0.44419811670497517,0.6694123,0.22521419818684002,1.0,1.0
0.45095276933343215,0.6694376,0.2184848179277678,1.0,1.0
0.45515681767628086,0.66938514,0.21422831749751675,1.0,-1.0
0.4526581152220657,0.6693613,0.21670317809382172,-1.0,-1.0
0.45621709794617044,0.66937274,0.2131556394615139,1.0,1.0
0.44356046563357304,0.6693422,0.22578175419598628,-1.0,-1.0
0.42752279973307633,0.6693365,0.24181369805058456,-1.0,-1.0
0.4302142804181805,0.6693577,0.23914343661902043,1.0,1.0
0.4186550011121821,0.669373,0.2507179747140813,-1.0,1.0
0.43378809223696896,0.6694061,0.2356180237717896,1.0,1.0
0.43664269296359465,0.66940826,0.2327655688123758,1.0,1.0
